
=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu10485c000_sz10000.hex  B=map_seq000059_conn0_type00005e15_at100ac4000_sz4000.hex ===
  +0x034c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0350: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0354: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0358: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x035c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0360: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0364: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0368: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x036c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0370: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0374: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0378: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x037c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03fc: 0x00000000 -> 0x000000ff   (A 0  B 255)

=== gpu_va=0x18000  A=bo_sigusr1_h0_va18000_cpu104914000_sz8000.hex  B=bo_sigusr1_h0_va18000_cpu100bd4000_sz8000.hex ===
  +0x0068: 0x47a00000 -> 0xc7a00000   (A 1201668096  B 3349151744)

[150 differing words across 41 paired BO(s)]
