role_id,instruction,form,role,width,evidence,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,outside_behavior
iadd2.10B.source1.b32,iadd2,10B-register,source1,32,EXP-0222;EXP-0232,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,The canonical eight-bit reg<<2 selector cannot represent r64+. Alternate extension/control forms remain unknown.
iadd2.10B.destination.b32,iadd2,10B-register,destination,32,EXP-0222;EXP-0232,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,"On G17P, r96 is the first invalid destination and raises a contained command-buffer fault; r127 also faults rather than wrapping. The r95 maximum is target-specific and differs from inherited M4/G16G evidence."
imad.12B.sourceX.b32,imad,12B-low32,sourceX,32,EXP-0225;EXP-0233,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,The canonical eight-bit reg<<2 selector cannot represent r64+. Alternate forms remain unknown.
imad.12B.sourceY.b32,imad,12B-low32,sourceY,32,EXP-0225;EXP-0233,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,The canonical eight-bit reg<<3 selector cannot represent r32+. Alternate forms remain unknown.
imad.12B.destination.b32,imad,12B-low32,destination,32,EXP-0225;EXP-0233,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,"On G17P, r96 is the first invalid destination and raises a contained command-buffer fault; r127 also faults rather than wrapping."
isel10.source.b32,isel10,10B,cmpA/cmpB/true/false source,32,EXP-0223;EXP-0234,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,"All four canonical source roles have identical reach. Encoded register numbers 64..127 alias r0..r63 respectively; every canonical source code executes, so physical r64..r95 cannot be named by this form."
isel10.destination.b32,isel10,10B,destination,32,EXP-0223;EXP-0234,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,The four-bit destination nibble has no encoding for physical r16+.
ilogic.10B.source.b32,ilogic,10B-canonical-xor,semantic A/B source,32,EXP-0226;EXP-0235,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,Both canonical source roles have identical reach and are released for XOR. Encoded register numbers 64..127 alias and release r0..r63 respectively; physical r64..r95 is neither read nor released.
ilogic.10B.destination.b32,ilogic,10B-canonical-xor,destination,32,EXP-0226;EXP-0235,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,The four-bit destination nibble has no encoding for physical r16+.
device_load.14B.destination.b32,device_load,14B-device,destination,32,EXP-0221;EXP-0230;EXP-0231,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,EXP-0230 value-proved the complete 0..95 set using generated loads and independent stores; EXP-0231 used tier/boundary destinations in a complete memory round trip; first out-of-file behavior remains open for this form.
device_store.14B.data.b32,device_store,14B-device-even-extmode,data source,32,EXP-0221;EXP-0231,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,extmode=2R selects rR. extmode 192 wraps to r0; upper half-index codes include aliases and faults.
device_memory.14B.index.b32,device_load/device_store,14B-device,index source,32,EXP-0221;EXP-0231,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,Low-seven-bit index 96..127 faults. Encoded bit7 is ignored and mirrors the low seven bits.
fspecial.10B.destination.b32,fspecial,10B,destination,32,EXP-0161;EXP-0237,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,"In the canonical FP32 direct-round form, byte values 0..191 select r[v >> 1], with bit 0 accepted-inert in the tested envelope. EXP-0161 established that r96 is first invalid and the upper descriptor region faults/hangs."
fspecial.10B.source.b32,fspecial,10B,source,32,EXP-0161;EXP-0237,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,"In the canonical FP32 direct-round form with a materialized GPR, all byte values 0..255 select and release r[v >> 2]; bits 0..1 are accepted-inert in this envelope. The exhausted field cannot represent physical r64..r95."
