
=== gpu_va=0x0  A=map_seq000044_conn0_type00005e15_at101408000_sz4000.hex  B=map_seq000044_conn0_type00005e15_at100170000_sz4000.hex ===
  +0x01b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01fc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0244: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0248: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x024c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0250: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0254: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0258: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x025c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0260: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0264: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0268: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x026c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0270: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0274: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0278: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x027c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0284: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0288: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x028c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0290: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0294: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0298: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x029c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0304: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0308: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x030c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0310: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0314: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0318: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x031c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0320: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0324: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0328: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x032c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0330: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0334: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0338: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x033c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0344: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0348: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x034c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0350: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0354: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0358: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x035c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0360: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0364: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0368: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x036c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0370: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0374: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0378: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x037c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x03fc: 0x00000000 -> 0x000000ff   (A 0  B 255)

[136 differing words across 27 paired BO(s)]
