
=== gpu_va=0x0  A=map_seq000056_conn0_type00005e15_at105038000_sz4000.hex  B=bo_sigusr1_h0_va0_cpu104750000_sz10000.hex ===
  +0x033c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0340: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0344: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0348: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x034c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0350: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0354: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0358: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x035c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0360: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0364: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0368: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x036c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0370: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0374: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0378: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x037c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0380: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0384: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0388: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x038c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0390: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0394: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0398: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x039c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03a0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03a4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03a8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03ac: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03b0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03b4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03b8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03bc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03c0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03c4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03c8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03cc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03d0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03d4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03d8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03dc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03e0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03e4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03e8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03ec: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03f0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03f4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03f8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03fc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)

[410 differing words across 38 paired BO(s)]
