
=== gpu_va=0x0  A=map_seq000055_conn0_type00005e15_at104e04000_sz4000.hex  B=map_seq000055_conn0_type00005e15_at104b80000_sz4000.hex ===
  +0x048c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0490: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0494: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0498: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x049c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04fc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0540: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0544: 0x00000000 -> 0x00008110   (A 0  B 33040)
  +0x0548: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x054c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0550: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0554: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0558: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x055c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0560: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0564: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0568: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x056c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0570: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0574: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0578: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x057c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0580: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0584: 0x00000000 -> 0x00008110   (A 0  B 33040)
  +0x0588: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x058c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0590: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0594: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0598: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x059c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0604: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0608: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x060c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0610: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0614: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0618: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x061c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0620: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0624: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0628: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x062c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0630: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0634: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0638: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x063c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0644: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0648: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x064c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0650: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0654: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0658: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x065c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0660: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0664: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0668: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x066c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0670: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0674: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0678: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x067c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06fc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0704: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0708: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x070c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0710: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0714: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0718: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x071c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0720: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0724: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0728: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x072c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0730: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0734: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0738: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x073c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0784: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0788: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x078c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0790: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0794: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0798: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x079c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07fc: 0x00000000 -> 0x000000ff   (A 0  B 255)

=== gpu_va=0x58000  A=bo_sigusr1_h0_va58000_cpu109ca8000_sz8000.hex  B=bo_sigusr1_h0_va58000_cpu10517c000_sz8000.hex ===
  +0x0008: 0x00000500 -> 0x00000480   (A 1280  B 1152)
  +0x005c: 0x0001ffff -> 0x0001fff8   (A 131071  B 131064)

=== gpu_va=0x10000000000  A=bo_sigusr1_h0_va10000000000_cpu104e0c000_sz10000.hex  B=bo_sigusr1_h0_va10000000000_cpu104b94000_sz10000.hex ===
  +0x0340: 0x00000180 -> 0x00000100   (A 384  B 256)
  +0x03e4: 0x04020e54 -> 0x04030254   (A 67243604  B 67306068)
  +0x03ec: 0x0c54052f -> 0x0454052f   (A 206832943  B 72615215)
  +0x03f0: 0x02000202 -> 0x02000803   (A 33554946  B 33556483)
  +0x03f4: 0x04170010 -> 0x05290010   (A 68616208  B 86573072)
  +0x03f8: 0x00010456 -> 0x0400031f   (A 66646  B 67109663)
  +0x03fc: 0x052fea14 -> 0x02000002   (A 87026196  B 33554434)
  +0x0400: 0x06031254 -> 0x04170000   (A 100864596  B 68616192)
  +0x0404: 0x00100200 -> 0x02010056   (A 1049088  B 33620054)
  +0x0408: 0x00540417 -> 0x8509ea14   (A 5506071  B 2232019476)
  +0x040c: 0xea140200 -> 0x08008324   (A 3927179776  B 134251300)
  +0x0410: 0x0a54052f -> 0x053e0109   (A 173278511  B 87949577)
  +0x0414: 0x02000803 -> 0x04970280   (A 33556483  B 77005440)
  +0x0418: 0x052f0010 -> 0x00020054   (A 86966288  B 131156)
  +0x041c: 0x04031054 -> 0xc0449000   (A 67309652  B 3225718784)
  +0x0420: 0x00100200 -> 0x04540287   (A 1049088  B 72614535)
  +0x0424: 0x8f0f1349 -> 0x06e70008   (A 2400129865  B 115802120)
  +0x0428: 0x00020300 -> 0x00000054   (A 131840  B 84)
  +0x042c: 0x00000200 -> 0x00005c01   (A 512  B 23553)
  +0x0430: 0x8f2f0b59 -> 0x02070000   (A 2402224985  B 34013184)
  +0x0434: 0x00020400 -> 0x00020c54   (A 132096  B 134228)
  +0x0438: 0x00000200 -> 0x0000000e   (A 512  B 14)
  +0x043c: 0x8f2f0d69 -> 0x00000000   (A 2402225513  B 0)
  +0x0440: 0x00020100 -> 0x00000080   (A 131328  B 128)
  +0x0444: 0x00000200 -> 0x00000000   (A 512  B 0)
  +0x0448: 0x0f3f1199 -> 0x00000000   (A 255791513  B 0)
  +0x044c: 0x00020200 -> 0x00000000   (A 131584  B 0)
  +0x0450: 0x00000200 -> 0x00000000   (A 512  B 0)
  +0x0454: 0x8b24b179 -> 0x00000000   (A 2334437753  B 0)
  +0x0458: 0x0d690880 -> 0x00000000   (A 224987264  B 0)
  +0x045c: 0x13898b29 -> 0x00000000   (A 327781161  B 0)
  +0x0460: 0x05298b29 -> 0x00000000   (A 86608681  B 0)
  +0x0464: 0x0c808f2e -> 0x00000000   (A 209751854  B 0)
  +0x0468: 0x8f2e0739 -> 0x00000000   (A 2402158393  B 0)
  +0x046c: 0x04971080 -> 0x00000000   (A 77009024  B 0)
  +0x0470: 0x08020454 -> 0x00000000   (A 134349908  B 0)
  +0x0474: 0xc245d018 -> 0x00000000   (A 3259355160  B 0)
  +0x0478: 0x8b290949 -> 0x00000000   (A 2334722377  B 0)
  +0x047c: 0x83248b39 -> 0x00000000   (A 2200210233  B 0)
  +0x0480: 0x01090800 -> 0x00000505   (A 17369088  B 1285)
  +0x0484: 0x08800f3e -> 0x0000000c   (A 142610238  B 12)
  +0x0488: 0x0b3a0719 -> 0x0001011f   (A 188352281  B 65823)
  +0x048c: 0x05540497 -> 0x00000505   (A 89392279  B 1285)
  +0x0490: 0xd0080002 -> 0x0000000c   (A 3490185218  B 12)
  +0x0494: 0x0287c245 -> 0x0001011f   (A 42451525  B 65823)
  +0x0498: 0x00080454 -> 0x00000505   (A 525396  B 1285)
  +0x049c: 0x045406e7 -> 0x0000000c   (A 72615655  B 12)
  +0x04a0: 0x4e010000 -> 0x0001011f   (A 1308688384  B 65823)
  +0x04a8: 0x0c540207 -> 0x00000000   (A 206832135  B 0)
  +0x04ac: 0x000e0002 -> 0x00000000   (A 917506  B 0)
  +0x04c0: 0x00000080 -> 0x00000140   (A 128  B 320)
  +0x0500: 0x00000505 -> 0x00070003   (A 1285  B 458755)
  +0x0504: 0x0000000c -> 0x00000002   (A 12  B 2)
  +0x0508: 0x0001011f -> 0x000e0060   (A 65823  B 917600)
  +0x050c: 0x00000505 -> 0x00060000   (A 1285  B 393216)
  +0x0510: 0x0000000c -> 0x00060006   (A 12  B 393222)
  +0x0514: 0x0001011f -> 0x00060006   (A 65823  B 393222)
  +0x0518: 0x00000505 -> 0x00060006   (A 1285  B 393222)
  +0x051c: 0x0000000c -> 0x00060006   (A 12  B 393222)
  +0x0520: 0x0001011f -> 0x00060006   (A 65823  B 393222)
  +0x0524: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0528: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x052c: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0530: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0534: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0538: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x053c: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0540: 0x00000140 -> 0x0610dd0c   (A 320  B 101768460)
  +0x0544: 0x00000000 -> 0x00441067   (A 0  B 4460647)
  +0x0548: 0x00000000 -> 0x00208000   (A 0  B 2129920)
  +0x054c: 0x00000000 -> 0x40000159   (A 0  B 1073742169)
  +0x0550: 0x00000000 -> 0x000b0048   (A 0  B 720968)
  +0x0554: 0x00000000 -> 0x011b0420   (A 0  B 18547744)
  +0x0558: 0x00000000 -> 0x0042002f   (A 0  B 4325423)
  +0x055c: 0x00000000 -> 0x00008400   (A 0  B 33792)
  +0x0560: 0x00000000 -> 0x002f032b   (A 0  B 3081003)
  +0x0564: 0x00000000 -> 0x08000042   (A 0  B 134217794)
  +0x0568: 0x00000000 -> 0x803c0000   (A 0  B 2151415808)
  +0x056c: 0x00000000 -> 0x00003e23   (A 0  B 15907)
  +0x0570: 0x00000000 -> 0x60400c00   (A 0  B 1614810112)
  +0x0574: 0x00000000 -> 0x3e23804c   (A 0  B 1042513996)
  +0x0578: 0x00000000 -> 0x04000000   (A 0  B 67108864)
  +0x057c: 0x00000000 -> 0x805c8040   (A 0  B 2153545792)
  +0x0580: 0x00070003 -> 0x00003e23   (A 458755  B 15907)
  +0x0584: 0x00000002 -> 0x80400800   (A 2  B 2151680000)
  +0x0588: 0x000e0060 -> 0x3e23806c   (A 917600  B 1042514028)
